#timestamp, p_RS_R_x [m], p_RS_R_y [m], p_RS_R_z [m], q_RS_w [], q_RS_x [], q_RS_y [], q_RS_z [], v_RS_R_x [m s^-1], v_RS_R_y [m s^-1], v_RS_R_z [m s^-1], b_w_RS_S_x [rad s^-1], b_w_RS_S_y [rad s^-1], b_w_RS_S_z [rad s^-1], b_a_RS_S_x [m s^-2], b_a_RS_S_y [m s^-2], b_a_RS_S_z [m s^-2]
1403636580838555648,4.688319,-1.786938,0.783338,0.534108,-0.153029,-0.827383,-0.082152,-0.027876,0.033207,0.800006,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075593
1403636580843555328,4.688177,-1.786770,0.787350,0.534640,-0.152990,-0.826976,-0.082863,-0.029272,0.033992,0.804771,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075593
1403636580848555520,4.688028,-1.786598,0.791382,0.535178,-0.152945,-0.826562,-0.083605,-0.030043,0.034999,0.808240,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075593
1403636580853555456,4.687878,-1.786421,0.795429,0.535715,-0.152884,-0.826146,-0.084391,-0.030230,0.035853,0.810462,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075593
1403636580858555648,4.687727,-1.786240,0.799484,0.536244,-0.152821,-0.825731,-0.085213,-0.029905,0.036316,0.811406,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075593
1403636580863555328,4.687579,-1.786059,0.803540,0.536768,-0.152768,-0.825314,-0.086049,-0.029255,0.036089,0.811225,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075593
1403636580868555520,4.687435,-1.785881,0.807594,0.537289,-0.152725,-0.824896,-0.086890,-0.028469,0.035167,0.810357,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075593
1403636580873555456,4.687295,-1.785709,0.811642,0.537804,-0.152680,-0.824481,-0.087725,-0.027620,0.033777,0.808910,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075593
1403636580878555648,4.687158,-1.785544,0.815682,0.538317,-0.152627,-0.824067,-0.088553,-0.026953,0.031990,0.806951,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075593
1403636580883555328,4.687025,-1.785390,0.819712,0.538828,-0.152566,-0.823657,-0.089371,-0.026473,0.029821,0.805101,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075593
1403636580888555520,4.686893,-1.785247,0.823734,0.539337,-0.152496,-0.823250,-0.090170,-0.026116,0.027383,0.803612,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075593
1403636580893555456,4.686763,-1.785116,0.827749,0.539846,-0.152427,-0.822845,-0.090943,-0.026152,0.024730,0.802343,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075593
1403636580898555392,4.686631,-1.785000,0.831759,0.540360,-0.152367,-0.822438,-0.091677,-0.026659,0.021855,0.801509,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075593
1403636580903555328,4.686495,-1.784898,0.835765,0.540883,-0.152312,-0.822028,-0.092362,-0.027538,0.018902,0.801217,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075593
1403636580908555520,4.686355,-1.784810,0.839771,0.541412,-0.152266,-0.821619,-0.092986,-0.028684,0.016222,0.801161,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075593
1403636580913555456,4.686208,-1.784735,0.843777,0.541956,-0.152228,-0.821204,-0.093543,-0.030048,0.013868,0.801131,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075593
1403636580918555392,4.686055,-1.784671,0.847783,0.542516,-0.152194,-0.820784,-0.094039,-0.031259,0.011815,0.801125,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075593
1403636580923555584,4.685896,-1.784616,0.851787,0.543088,-0.152157,-0.820361,-0.094491,-0.032016,0.010125,0.800698,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075593
1403636580928555520,4.685735,-1.784569,0.855787,0.543677,-0.152105,-0.819932,-0.094913,-0.032448,0.008495,0.799357,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075593
1403636580933555712,4.685573,-1.784531,0.859778,0.544275,-0.152041,-0.819501,-0.095315,-0.032446,0.006842,0.797003,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075593
1403636580938555392,4.685412,-1.784501,0.863755,0.544867,-0.151968,-0.819076,-0.095706,-0.031824,0.005358,0.793636,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075593
1403636580943555584,4.685256,-1.784477,0.867713,0.545458,-0.151878,-0.818655,-0.096084,-0.030659,0.004013,0.789761,-0.003172,0.021267,0.078502,-0.025266,0.136696,0.075593
